epoch,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
330,-373.8,-373.8,-373.8,-391.8,-391.8,-391.8
331,-464.1,-464.1,-464.1,-386.6,-386.6,-386.6
332,-420,-420,-420,-352.6,-352.6,-352.6
333,-421.2,-421.2,-421.2,-363.4,-363.4,-363.4
334,-389.1,-389.1,-389.1,-390.6,-390.6,-390.6
335,-371.8,-371.8,-371.8,-357.9,-357.9,-357.9
336,-367.4,-367.4,-367.4,-354.4,-354.4,-354.4
337,-369.5,-369.5,-369.5,-371.3,-371.3,-371.3
338,-372,-372,-372,-348.7,-348.7,-348.7
339,-438.3,-438.3,-438.3,-329.9,-329.9,-329.9
340,-402.4,-402.4,-402.4,-357.4,-357.4,-357.4
341,-419.9,-419.9,-419.9,-362.7,-362.7,-362.7
342,-387.9,-387.9,-387.9,-371.8,-371.8,-371.8
343,-347.3,-347.3,-347.3,-371.8,-371.8,-371.8
344,-381.5,-381.5,-381.5,-328.3,-328.3,-328.3
345,-327.6,-327.6,-327.6,-325.5,-325.5,-325.5
346,-369.9,-369.9,-369.9,-350.6,-350.6,-350.6
347,-408.1,-408.1,-408.1,-385.5,-385.5,-385.5
348,-356.8,-356.8,-356.8,-350.4,-350.4,-350.4
349,-336.2,-336.2,-336.2,-330.4,-330.4,-330.4
350,-398.9,-398.9,-398.9,-325.1,-325.1,-325.1
351,-397.1,-397.1,-397.1,-367.6,-367.6,-367.6
352,-337.2,-337.2,-337.2,-330,-330,-330
353,-463.6,-463.6,-463.6,-333.9,-333.9,-333.9
354,-394.8,-394.8,-394.8,-410.4,-410.4,-410.4
355,-368.9,-368.9,-368.9,-405.5,-405.5,-405.5
356,-365.2,-365.2,-365.2,-356.8,-356.8,-356.8
357,-381,-381,-381,-363.8,-363.8,-363.8
358,-403.8,-403.8,-403.8,-378.1,-378.1,-378.1
359,-392.4,-392.4,-392.4,-366.8,-366.8,-366.8
360,-388.1,-388.1,-388.1,-332.4,-332.4,-332.4
361,-359,-359,-359,-352.9,-352.9,-352.9
362,-377.2,-377.2,-377.2,-344.3,-344.3,-344.3
363,-411.4,-411.4,-411.4,-338.4,-338.4,-338.4
364,-450.2,-450.2,-450.2,-379.8,-379.8,-379.8
365,-429.2,-429.2,-429.2,-441.6,-441.6,-441.6
366,-308.4,-308.4,-308.4,-371.4,-371.4,-371.4
367,-331.7,-331.7,-331.7,-320.5,-320.5,-320.5
368,-363.1,-363.1,-363.1,-357.5,-357.5,-357.5
369,-391.7,-391.7,-391.7,-325.6,-325.6,-325.6
370,-399.2,-399.2,-399.2,-326,-326,-326
371,-353.3,-353.3,-353.3,-324.4,-324.4,-324.4
372,-369,-369,-369,-336.4,-336.4,-336.4
373,-350.6,-350.6,-350.6,-332,-332,-332
374,-383.4,-383.4,-383.4,-336.8,-336.8,-336.8
375,-397.3,-397.3,-397.3,-378.9,-378.9,-378.9
376,-382.1,-382.1,-382.1,-290.1,-290.1,-290.1
377,-361.9,-361.9,-361.9,-368.6,-368.6,-368.6
378,-383,-383,-383,-392.6,-392.6,-392.6
379,-406.4,-406.4,-406.4,-399.3,-399.3,-399.3
380,-416,-416,-416,-340.2,-340.2,-340.2
381,-418,-418,-418,-381.1,-381.1,-381.1
382,-376.6,-376.6,-376.6,-336,-336,-336
383,-423.1,-423.1,-423.1,-355.4,-355.4,-355.4
384,-368.8,-368.8,-368.8,-343.5,-343.5,-343.5
385,-335.6,-335.6,-335.6,-394.1,-394.1,-394.1
386,-352.8,-352.8,-352.8,-351.5,-351.5,-351.5
387,-373.6,-373.6,-373.6,-362.1,-362.1,-362.1
388,-384.7,-384.7,-384.7,-379.9,-379.9,-379.9
389,-356.6,-356.6,-356.6,-324.5,-324.5,-324.5
390,-401.7,-401.7,-401.7,-341.7,-341.7,-341.7
391,-371.6,-371.6,-371.6,-373.1,-373.1,-373.1
392,-330.5,-330.5,-330.5,-391.5,-391.5,-391.5
393,-352.3,-352.3,-352.3,-377.1,-377.1,-377.1
394,-423,-423,-423,-327.1,-327.1,-327.1
395,-428.1,-428.1,-428.1,-381.2,-381.2,-381.2
396,-353.5,-353.5,-353.5,-327.7,-327.7,-327.7
397,-380.2,-380.2,-380.2,-304.6,-304.6,-304.6
398,-374,-374,-374,-359.4,-359.4,-359.4
399,-410.1,-410.1,-410.1,-403.2,-403.2,-403.2
400,-376.5,-376.5,-376.5,-313.9,-313.9,-313.9
401,-410.4,-410.4,-410.4,-381.9,-381.9,-381.9
402,-350,-350,-350,-343.1,-343.1,-343.1
403,-355.5,-355.5,-355.5,-351.6,-351.6,-351.6
404,-351.7,-351.7,-351.7,-348,-348,-348
405,-366.7,-366.7,-366.7,-399.6,-399.6,-399.6
406,-386.5,-386.5,-386.5,-352.6,-352.6,-352.6
407,-369.5,-369.5,-369.5,-373,-373,-373
408,-361.3,-361.3,-361.3,-392.9,-392.9,-392.9
409,-399.2,-399.2,-399.2,-325.3,-325.3,-325.3
410,-431.1,-431.1,-431.1,-392.4,-392.4,-392.4
411,-367.8,-367.8,-367.8,-367.4,-367.4,-367.4
412,-363.4,-363.4,-363.4,-327.5,-327.5,-327.5
413,-388.7,-388.7,-388.7,-365.8,-365.8,-365.8
414,-376.9,-376.9,-376.9,-355.7,-355.7,-355.7
415,-354.5,-354.5,-354.5,-387.1,-387.1,-387.1
416,-388.6,-388.6,-388.6,-342.2,-342.2,-342.2
417,-336.3,-336.3,-336.3,-344.9,-344.9,-344.9
418,-362.6,-362.6,-362.6,-351.5,-351.5,-351.5
419,-392.6,-392.6,-392.6,-363.8,-363.8,-363.8
420,-377.9,-377.9,-377.9,-343.6,-343.6,-343.6
421,-409.8,-409.8,-409.8,-318.2,-318.2,-318.2
422,-428.5,-428.5,-428.5,-363.3,-363.3,-363.3
423,-407.6,-407.6,-407.6,-339.1,-339.1,-339.1
424,-367.1,-367.1,-367.1,-395.5,-395.5,-395.5
425,-350.6,-350.6,-350.6,-331.6,-331.6,-331.6
426,-358.7,-358.7,-358.7,-321.9,-321.9,-321.9
427,-351.5,-351.5,-351.5,-354.8,-354.8,-354.8
428,-362.8,-362.8,-362.8,-320.5,-320.5,-320.5
429,-391.3,-391.3,-391.3,-304.2,-304.2,-304.2
430,-375.4,-375.4,-375.4,-316.5,-316.5,-316.5
431,-372.4,-372.4,-372.4,-348.8,-348.8,-348.8
432,-366.9,-366.9,-366.9,-338.8,-338.8,-338.8
433,-417.1,-417.1,-417.1,-354,-354,-354
434,-406.4,-406.4,-406.4,-329.4,-329.4,-329.4
435,-424.7,-424.7,-424.7,-350.7,-350.7,-350.7
436,-359.7,-359.7,-359.7,-362.7,-362.7,-362.7
437,-374.7,-374.7,-374.7,-404,-404,-404
438,-429.6,-429.6,-429.6,-355.1,-355.1,-355.1
439,-439.5,-439.5,-439.5,-310.9,-310.9,-310.9
440,-357.8,-357.8,-357.8,-332.8,-332.8,-332.8
441,-365.4,-365.4,-365.4,-325.6,-325.6,-325.6
442,-406.4,-406.4,-406.4,-357.8,-357.8,-357.8
443,-329.4,-329.4,-329.4,-398.1,-398.1,-398.1
444,-316.6,-316.6,-316.6,-348.7,-348.7,-348.7
445,-403.6,-403.6,-403.6,-355.2,-355.2,-355.2
446,-331.4,-331.4,-331.4,-296.9,-296.9,-296.9
447,-406,-406,-406,-352.3,-352.3,-352.3
448,-456.4,-456.4,-456.4,-370,-370,-370
449,-342.5,-342.5,-342.5,-399.2,-399.2,-399.2
450,-324.6,-324.6,-324.6,-369.1,-369.1,-369.1
451,-411.4,-411.4,-411.4,-339.1,-339.1,-339.1
452,-387.6,-387.6,-387.6,-408.8,-408.8,-408.8
453,-436.8,-436.8,-436.8,-347,-347,-347
454,-361,-361,-361,-323.5,-323.5,-323.5
455,-332.4,-332.4,-332.4,-303,-303,-303
456,-392.7,-392.7,-392.7,-348.7,-348.7,-348.7
457,-430.3,-430.3,-430.3,-349.4,-349.4,-349.4
458,-426.8,-426.8,-426.8,-331,-331,-331
459,-369.2,-369.2,-369.2,-374,-374,-374
460,-380,-380,-380,-325,-325,-325
461,-392.7,-392.7,-392.7,-344,-344,-344
462,-388.8,-388.8,-388.8,-339,-339,-339
463,-333.1,-333.1,-333.1,-361.6,-361.6,-361.6
464,-455.4,-455.4,-455.4,-314.2,-314.2,-314.2
465,-401.9,-401.9,-401.9,-381.5,-381.5,-381.5
466,-390.5,-390.5,-390.5,-330.5,-330.5,-330.5
467,-341.2,-341.2,-341.2,-384.8,-384.8,-384.8
468,-392.9,-392.9,-392.9,-328.4,-328.4,-328.4
469,-414.8,-414.8,-414.8,-356.8,-356.8,-356.8
470,-366,-366,-366,-338.2,-338.2,-338.2
471,-417.1,-417.1,-417.1,-337.6,-337.6,-337.6
472,-378.9,-378.9,-378.9,-298.6,-298.6,-298.6
473,-370.3,-370.3,-370.3,-331.1,-331.1,-331.1
474,-379.6,-379.6,-379.6,-350.6,-350.6,-350.6
475,-413,-413,-413,-338.3,-338.3,-338.3
476,-418.2,-418.2,-418.2,-360.6,-360.6,-360.6
477,-371.8,-371.8,-371.8,-319.1,-319.1,-319.1
478,-376.1,-376.1,-376.1,-336,-336,-336
479,-396.3,-396.3,-396.3,-314.8,-314.8,-314.8
480,-392.5,-392.5,-392.5,-321.6,-321.6,-321.6
481,-391.2,-391.2,-391.2,-393.5,-393.5,-393.5
482,-393.2,-393.2,-393.2,-370.2,-370.2,-370.2
483,-383.8,-383.8,-383.8,-378.6,-378.6,-378.6
484,-406.1,-406.1,-406.1,-336.9,-336.9,-336.9
485,-387,-387,-387,-364.7,-364.7,-364.7
486,-398.5,-398.5,-398.5,-327.3,-327.3,-327.3
487,-412.5,-412.5,-412.5,-356.8,-356.8,-356.8
488,-385,-385,-385,-380,-380,-380
489,-312.3,-312.3,-312.3,-306.5,-306.5,-306.5
490,-368,-368,-368,-319.4,-319.4,-319.4
491,-411.6,-411.6,-411.6,-348.7,-348.7,-348.7
492,-383.1,-383.1,-383.1,-371.2,-371.2,-371.2
493,-394.2,-394.2,-394.2,-357.8,-357.8,-357.8
494,-439.6,-439.6,-439.6,-370.9,-370.9,-370.9
495,-410.8,-410.8,-410.8,-319.3,-319.3,-319.3
496,-379.4,-379.4,-379.4,-416.2,-416.2,-416.2
497,-451.7,-451.7,-451.7,-307.6,-307.6,-307.6
498,-397.8,-397.8,-397.8,-380.2,-380.2,-380.2
499,-388,-388,-388,-349,-349,-349
500,-411,-411,-411,-262.1,-262.1,-262.1
501,-373.7,-373.7,-373.7,-313.2,-313.2,-313.2
502,-422.3,-422.3,-422.3,-319.8,-319.8,-319.8
503,-428.3,-428.3,-428.3,-359.7,-359.7,-359.7
504,-362.8,-362.8,-362.8,-287.3,-287.3,-287.3
505,-342.7,-342.7,-342.7,-341.9,-341.9,-341.9
506,-414.5,-414.5,-414.5,-371.1,-371.1,-371.1
507,-356.3,-356.3,-356.3,-387.9,-387.9,-387.9
508,-427.2,-427.2,-427.2,-458.4,-458.4,-458.4
509,-365.4,-365.4,-365.4,-365.5,-365.5,-365.5
510,-416,-416,-416,-321.7,-321.7,-321.7
511,-363.8,-363.8,-363.8,-341.7,-341.7,-341.7
512,-349,-349,-349,-419.5,-419.5,-419.5
513,-394.3,-394.3,-394.3,-292,-292,-292
514,-386.1,-386.1,-386.1,-344.4,-344.4,-344.4
515,-433.7,-433.7,-433.7,-350.9,-350.9,-350.9
516,-393.5,-393.5,-393.5,-387.5,-387.5,-387.5
517,-365.5,-365.5,-365.5,-355,-355,-355
518,-361.6,-361.6,-361.6,-323.1,-323.1,-323.1
519,-459.5,-459.5,-459.5,-341.1,-341.1,-341.1
520,-440.9,-440.9,-440.9,-330.4,-330.4,-330.4
521,-405.7,-405.7,-405.7,-352.8,-352.8,-352.8
522,-433.4,-433.4,-433.4,-304.3,-304.3,-304.3
523,-381.6,-381.6,-381.6,-326.4,-326.4,-326.4
524,-435,-435,-435,-340.2,-340.2,-340.2
525,-451.2,-451.2,-451.2,-369.6,-369.6,-369.6
526,-425.3,-425.3,-425.3,-371.2,-371.2,-371.2
527,-378.7,-378.7,-378.7,-323.1,-323.1,-323.1
528,-424,-424,-424,-371.3,-371.3,-371.3
529,-407.9,-407.9,-407.9,-375.3,-375.3,-375.3
530,-446.5,-446.5,-446.5,-350.6,-350.6,-350.6
531,-382.3,-382.3,-382.3,-368.4,-368.4,-368.4
532,-430.3,-430.3,-430.3,-353.6,-353.6,-353.6
533,-426.7,-426.7,-426.7,-365.2,-365.2,-365.2
534,-378,-378,-378,-352.8,-352.8,-352.8
535,-380.6,-380.6,-380.6,-326.7,-326.7,-326.7
536,-395.8,-395.8,-395.8,-336.3,-336.3,-336.3
537,-399.9,-399.9,-399.9,-320.9,-320.9,-320.9
538,-426.1,-426.1,-426.1,-307.2,-307.2,-307.2
539,-410.1,-410.1,-410.1,-331.3,-331.3,-331.3
540,-404,-404,-404,-293.7,-293.7,-293.7
541,-411.2,-411.2,-411.2,-374.3,-374.3,-374.3
542,-419.5,-419.5,-419.5,-324.7,-324.7,-324.7
543,-428.3,-428.3,-428.3,-319.8,-319.8,-319.8
544,-384.9,-384.9,-384.9,-339.2,-339.2,-339.2
545,-423.6,-423.6,-423.6,-304.8,-304.8,-304.8
546,-376.7,-376.7,-376.7,-357.7,-357.7,-357.7
547,-381.9,-381.9,-381.9,-355.2,-355.2,-355.2
548,-458.6,-458.6,-458.6,-342.1,-342.1,-342.1
549,-410.2,-410.2,-410.2,-370.7,-370.7,-370.7
550,-409.9,-409.9,-409.9,-341.2,-341.2,-341.2
551,-432.2,-432.2,-432.2,-345.3,-345.3,-345.3
552,-371.8,-371.8,-371.8,-269.3,-269.3,-269.3
553,-341.9,-341.9,-341.9,-344.5,-344.5,-344.5
554,-357.3,-357.3,-357.3,-335.4,-335.4,-335.4
555,-400.1,-400.1,-400.1,-319.9,-319.9,-319.9
556,-426.5,-426.5,-426.5,-337.2,-337.2,-337.2
557,-324.8,-324.8,-324.8,-319.4,-319.4,-319.4
558,-360.1,-360.1,-360.1,-318.5,-318.5,-318.5
559,-363.3,-363.3,-363.3,-308.8,-308.8,-308.8
560,-393.2,-393.2,-393.2,-322.4,-322.4,-322.4
561,-403.4,-403.4,-403.4,-339.4,-339.4,-339.4
562,-353.5,-353.5,-353.5,-377.9,-377.9,-377.9
563,-379.7,-379.7,-379.7,-327.7,-327.7,-327.7
564,-385.6,-385.6,-385.6,-370.7,-370.7,-370.7
565,-407.7,-407.7,-407.7,-333,-333,-333
566,-385.3,-385.3,-385.3,-350.6,-350.6,-350.6
567,-360.8,-360.8,-360.8,-313.5,-313.5,-313.5
568,-352.2,-352.2,-352.2,-333.9,-333.9,-333.9
569,-441.4,-441.4,-441.4,-336.7,-336.7,-336.7
570,-416.9,-416.9,-416.9,-328.2,-328.2,-328.2
571,-356.3,-356.3,-356.3,-342.5,-342.5,-342.5
572,-411.4,-411.4,-411.4,-376.8,-376.8,-376.8
573,-438.4,-438.4,-438.4,-346.9,-346.9,-346.9
574,-400.3,-400.3,-400.3,-302.4,-302.4,-302.4
575,-355.1,-355.1,-355.1,-342.2,-342.2,-342.2
576,-383.5,-383.5,-383.5,-343.9,-343.9,-343.9
577,-406.7,-406.7,-406.7,-340.1,-340.1,-340.1
578,-390.2,-390.2,-390.2,-317.8,-317.8,-317.8
579,-378.7,-378.7,-378.7,-313.5,-313.5,-313.5
580,-360.4,-360.4,-360.4,-325.9,-325.9,-325.9
581,-319.5,-319.5,-319.5,-344.4,-344.4,-344.4
582,-408.7,-408.7,-408.7,-342.8,-342.8,-342.8
583,-394.1,-394.1,-394.1,-301.7,-301.7,-301.7
584,-358.3,-358.3,-358.3,-351.4,-351.4,-351.4
585,-339.4,-339.4,-339.4,-321.3,-321.3,-321.3
586,-364.3,-364.3,-364.3,-338.5,-338.5,-338.5
587,-431.9,-431.9,-431.9,-326.2,-326.2,-326.2
588,-372.8,-372.8,-372.8,-313.8,-313.8,-313.8
589,-367,-367,-367,-322.5,-322.5,-322.5
590,-415.1,-415.1,-415.1,-353,-353,-353
591,-395.4,-395.4,-395.4,-375.6,-375.6,-375.6
592,-444,-444,-444,-330.3,-330.3,-330.3
593,-384.7,-384.7,-384.7,-367.2,-367.2,-367.2
594,-403.6,-403.6,-403.6,-342.6,-342.6,-342.6
595,-387.5,-387.5,-387.5,-365.3,-365.3,-365.3
596,-389.3,-389.3,-389.3,-332.9,-332.9,-332.9
597,-431.1,-431.1,-431.1,-356.3,-356.3,-356.3
598,-326.4,-326.4,-326.4,-360.7,-360.7,-360.7
599,-466.6,-466.6,-466.6,-370,-370,-370
600,-394,-394,-394,-334.4,-334.4,-334.4
601,-402.3,-402.3,-402.3,-375.7,-375.7,-375.7
602,-389.7,-389.7,-389.7,-317.3,-317.3,-317.3
603,-367,-367,-367,-298,-298,-298
604,-362.4,-362.4,-362.4,-338.8,-338.8,-338.8
605,-397.8,-397.8,-397.8,-319.1,-319.1,-319.1
606,-384.3,-384.3,-384.3,-356.6,-356.6,-356.6
607,-453.4,-453.4,-453.4,-345.8,-345.8,-345.8
608,-358.5,-358.5,-358.5,-328.4,-328.4,-328.4
609,-388.1,-388.1,-388.1,-322.4,-322.4,-322.4
610,-359.9,-359.9,-359.9,-333.2,-333.2,-333.2
611,-339.5,-339.5,-339.5,-270.9,-270.9,-270.9
612,-376.3,-376.3,-376.3,-341.7,-341.7,-341.7
613,-366.9,-366.9,-366.9,-341,-341,-341
614,-408.4,-408.4,-408.4,-344.5,-344.5,-344.5
615,-381.5,-381.5,-381.5,-316.2,-316.2,-316.2
616,-357.7,-357.7,-357.7,-359.5,-359.5,-359.5
617,-411.2,-411.2,-411.2,-299.8,-299.8,-299.8
618,-346.4,-346.4,-346.4,-351.8,-351.8,-351.8
619,-447.1,-447.1,-447.1,-351.7,-351.7,-351.7
620,-350.4,-350.4,-350.4,-306.8,-306.8,-306.8
621,-431.9,-431.9,-431.9,-340.7,-340.7,-340.7
622,-463.9,-463.9,-463.9,-385.9,-385.9,-385.9
623,-416.9,-416.9,-416.9,-321.8,-321.8,-321.8
624,-424.4,-424.4,-424.4,-300.6,-300.6,-300.6
625,-398.6,-398.6,-398.6,-351.7,-351.7,-351.7
626,-432.7,-432.7,-432.7,-326,-326,-326
627,-409,-409,-409,-346.3,-346.3,-346.3
628,-416.3,-416.3,-416.3,-359.4,-359.4,-359.4
629,-380.1,-380.1,-380.1,-313.6,-313.6,-313.6
630,-422.7,-422.7,-422.7,-324.7,-324.7,-324.7
631,-419.5,-419.5,-419.5,-337.9,-337.9,-337.9
632,-367.4,-367.4,-367.4,-331.2,-331.2,-331.2
633,-438.3,-438.3,-438.3,-324.4,-324.4,-324.4
634,-441.2,-441.2,-441.2,-321.7,-321.7,-321.7
635,-423.4,-423.4,-423.4,-350.3,-350.3,-350.3
636,-364.9,-364.9,-364.9,-314.1,-314.1,-314.1
637,-416.4,-416.4,-416.4,-367.8,-367.8,-367.8
638,-305.2,-305.2,-305.2,-358.4,-358.4,-358.4
639,-401.4,-401.4,-401.4,-356.9,-356.9,-356.9
640,-394.2,-394.2,-394.2,-294.2,-294.2,-294.2
641,-364.5,-364.5,-364.5,-313.3,-313.3,-313.3
642,-396.9,-396.9,-396.9,-329,-329,-329
643,-311.5,-311.5,-311.5,-334,-334,-334
644,-424.8,-424.8,-424.8,-322.9,-322.9,-322.9
645,-341,-341,-341,-322.4,-322.4,-322.4
646,-385.7,-385.7,-385.7,-329.7,-329.7,-329.7
647,-383.7,-383.7,-383.7,-323.1,-323.1,-323.1
648,-418.8,-418.8,-418.8,-356.6,-356.6,-356.6
649,-415.2,-415.2,-415.2,-346.4,-346.4,-346.4
650,-416.5,-416.5,-416.5,-301.9,-301.9,-301.9
651,-405.7,-405.7,-405.7,-322.2,-322.2,-322.2
652,-381.5,-381.5,-381.5,-328.8,-328.8,-328.8
653,-383.6,-383.6,-383.6,-356.6,-356.6,-356.6
654,-420.3,-420.3,-420.3,-322.9,-322.9,-322.9
655,-419.9,-419.9,-419.9,-331.6,-331.6,-331.6
656,-396.9,-396.9,-396.9,-346.2,-346.2,-346.2
657,-352.8,-352.8,-352.8,-316.6,-316.6,-316.6
658,-433.3,-433.3,-433.3,-327.1,-327.1,-327.1
659,-365.4,-365.4,-365.4,-314.8,-314.8,-314.8
660,-390.2,-390.2,-390.2,-344,-344,-344
661,-368.6,-368.6,-368.6,-329.5,-329.5,-329.5
662,-404.6,-404.6,-404.6,-343.8,-343.8,-343.8
663,-393,-393,-393,-322.4,-322.4,-322.4
